Day,品妤
02/01/2016,30
02/02/2016,0
02/03/2016,22
02/04/2016,2
02/05/2016,0
02/06/2016,4
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,19
02/13/2016,8
02/14/2016,21
02/15/2016,18
02/16/2016,0
02/17/2016,3
02/18/2016,6
02/19/2016,8
02/20/2016,0
02/21/2016,13
02/22/2016,17
02/23/2016,5
02/24/2016,0
02/25/2016,1
02/26/2016,6
02/27/2016,7
02/28/2016,0
02/29/2016,1
03/01/2016,0
03/02/2016,64
03/03/2016,0
03/04/2016,24
03/05/2016,0
03/06/2016,9
03/07/2016,2
03/08/2016,3
03/09/2016,39
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,4
03/14/2016,0
03/15/2016,1
03/16/2016,0
03/17/2016,3
03/18/2016,0
03/19/2016,1
03/20/2016,0
03/21/2016,22
03/22/2016,0
03/23/2016,75
03/24/2016,1
03/25/2016,134
03/26/2016,10
03/27/2016,104
03/28/2016,61
03/29/2016,0
03/30/2016,0
03/31/2016,0
